Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total - Persons,Total - Males,Total - Females,Religious communities - Hindu - Persons,Religious communities - Hindu - Males,Religious communities - Hindu - Females,Religious communities - Muslim - Persons,Religious communities - Muslim - Males,Religious communities - Muslim - Females,Religious communities - Christian - Persons,Religious communities - Christian - Males,Religious communities - Christian - Females,Religious communities - Sikh - Persons,Religious communities - Sikh - Males,Religious communities - Sikh - Females,Religious communities - Buddhist - Persons,Religious communities - Buddhist - Males,Religious communities - Buddhist - Females,Religious communities - Jain - Persons,Religious communities - Jain - Males,Religious communities - Jain - Females,Religious communities - Other religious communities - Persons,Religious communities - Other religious communities - Males,Religious communities - Other religious communities - Females
C4415,33,00,0000,State - TAMIL NADU  33,Total,All ages,62405679,31400909,31004770,54985079,27732367,27252712,3470647,1718511,1752136,3785060,1864044,1921016,9545,5515,4030,5393,2887,2506,83359,43114,40245,7252,3854,3398
C4415,33,00,0000,State - TAMIL NADU  33,Total,0-4,5098462,2619883,2478579,4472774,2301236,2171538,315123,161063,154060,297918,151003,146915,676,362,314,447,221,226,6192,3264,2928,578,298,280
C4415,33,00,0000,State - TAMIL NADU  33,Total,5-9,5600086,2875394,2724692,4924901,2532278,2392623,342058,173760,168298,319214,162024,157190,762,384,378,506,281,225,6915,3643,3272,574,298,276
C4415,33,00,0000,State - TAMIL NADU  33,Total,10-14,6012326,3086803,2925523,5263020,2707377,2555643,370674,188092,182582,362876,182940,179936,715,409,306,557,287,270,7533,3939,3594,630,319,311
C4415,33,00,0000,State - TAMIL NADU  33,Total,15-19,6183767,3135595,3048172,5384250,2744803,2639447,394971,192666,202305,388886,189894,198992,820,485,335,521,289,232,7753,4071,3682,659,385,274
C4415,33,00,0000,State - TAMIL NADU  33,Total,20-24,5801384,2872914,2928470,5051035,2510211,2540824,362820,176215,186605,370647,177848,192799,1013,596,417,609,327,282,8981,4635,4346,836,468,368
C4415,33,00,0000,State - TAMIL NADU  33,Total,25-29,5719070,2732907,2986163,5032885,2410593,2622292,323834,151746,172088,347141,162878,184263,1028,605,423,511,264,247,8365,4276,4089,715,361,354
C4415,33,00,0000,State - TAMIL NADU  33,Total,30-34,4687799,2344412,2343387,4133922,2072839,2061083,251651,123762,127889,289412,141219,148193,877,512,365,435,222,213,7161,3622,3539,611,328,283
C4415,33,00,0000,State - TAMIL NADU  33,Total,35-39,4919080,2396927,2522153,4370773,2131530,2239243,250889,120837,130052,285500,138440,147060,762,451,311,409,221,188,6495,3386,3109,559,285,274
C4415,33,00,0000,State - TAMIL NADU  33,Total,40-44,3786341,1978669,1807672,3363144,1762967,1600177,184542,95152,89390,229467,115698,113769,643,372,271,291,169,122,5032,2625,2407,414,229,185
C4415,33,00,0000,State - TAMIL NADU  33,Total,45-49,3610873,1842970,1767903,3211610,1642850,1568760,172182,86969,85213,218847,108841,110006,579,352,227,262,143,119,4442,2288,2154,382,209,173
C4415,33,00,0000,State - TAMIL NADU  33,Total,50-54,2817473,1452890,1364583,2502985,1292564,1210421,132443,68209,64234,175447,88629,86818,444,291,153,230,139,91,3461,1829,1632,319,167,152
C4415,33,00,0000,State - TAMIL NADU  33,Total,55-59,2232676,1101957,1130719,1986255,980451,1005804,103164,50909,52255,138140,67983,70157,333,202,131,129,72,57,2745,1386,1359,265,141,124
C4415,33,00,0000,State - TAMIL NADU  33,Total,60-64,2049791,1019088,1030703,1835394,914055,921339,89720,43912,45808,120099,58789,61310,251,145,106,115,64,51,2331,1178,1153,210,104,106
C4415,33,00,0000,State - TAMIL NADU  33,Total,65-69,1374926,663631,711295,1222591,590919,631672,61517,29735,31782,87369,41237,46132,167,97,70,92,45,47,1957,989,968,166,81,85
C4415,33,00,0000,State - TAMIL NADU  33,Total,70-74,1030919,520254,510665,921349,466687,454662,44430,21366,23064,62731,31004,31727,114,53,61,65,30,35,1284,641,643,109,59,50
C4415,33,00,0000,State - TAMIL NADU  33,Total,75-79,498560,261694,236866,442775,233475,209300,20502,10221,10281,33940,17328,16612,62,31,31,35,16,19,767,364,403,68,37,31
C4415,33,00,0000,State - TAMIL NADU  33,Total,80+,553204,271133,282071,492572,243022,249550,24890,10835,14055,34227,16517,17710,93,58,35,60,37,23,752,355,397,80,40,40
C4415,33,00,0000,State - TAMIL NADU  33,Total,Age not stated,428942,223788,205154,372844,194510,178334,25237,13062,12175,23199,11772,11427,206,110,96,119,60,59,1193,623,570,77,45,32
C4415,33,00,0000,State - TAMIL NADU  33,Rural,All ages,34921681,17531494,17390187,32278444,16239650,16038794,944810,455057,489753,1649722,811549,838173,2338,1367,971,1135,603,532,10932,5474,5458,1925,1066,859
C4415,33,00,0000,State - TAMIL NADU  33,Rural,0-4,2999803,1548451,1451352,2767331,1429718,1337613,91330,46610,44720,137283,70129,67154,190,99,91,120,56,64,654,346,308,157,84,73
C4415,33,00,0000,State - TAMIL NADU  33,Rural,5-9,3305549,1704477,1601072,3053184,1576289,1476895,98696,50027,48669,149573,76046,73527,208,98,110,110,65,45,685,360,325,188,107,81
C4415,33,00,0000,State - TAMIL NADU  33,Rural,10-14,3476580,1791785,1684795,3201233,1651994,1549239,104415,52575,51840,166276,84658,81618,194,116,78,110,53,57,762,397,365,203,105,98
C4415,33,00,0000,State - TAMIL NADU  33,Rural,15-19,3477060,1771011,1706049,3189519,1631088,1558431,107690,51888,55802,175219,85539,89680,197,117,80,97,58,39,838,419,419,218,133,85
C4415,33,00,0000,State - TAMIL NADU  33,Rural,20-24,3104691,1551058,1553633,2849037,1427907,1421130,93859,44635,49224,157243,76197,81046,209,126,83,124,63,61,1027,504,523,203,117,86
C4415,33,00,0000,State - TAMIL NADU  33,Rural,25-29,3053491,1452229,1601262,2824826,1346547,1478279,82188,36704,45484,142596,67041,75555,225,133,92,105,57,48,986,515,471,165,83,82
C4415,33,00,0000,State - TAMIL NADU  33,Rural,30-34,2463318,1214333,1248985,2280428,1127245,1153183,63390,29439,33951,116319,56034,60285,191,123,68,80,39,41,769,400,369,153,90,63
C4415,33,00,0000,State - TAMIL NADU  33,Rural,35-39,2698598,1290675,1407923,2510669,1202539,1308130,65375,29608,35767,119346,56967,62379,177,107,70,76,43,33,739,369,370,127,64,63
C4415,33,00,0000,State - TAMIL NADU  33,Rural,40-44,2059525,1062501,997024,1913881,990694,923187,48141,23381,24760,94989,47125,47864,167,103,64,57,33,24,652,318,334,93,49,44
C4415,33,00,0000,State - TAMIL NADU  33,Rural,45-49,2024247,1013197,1011050,1881974,944257,937717,46614,22274,24340,93171,45414,47757,151,96,55,54,26,28,680,310,370,77,42,35
C4415,33,00,0000,State - TAMIL NADU  33,Rural,50-54,1577965,798431,779534,1465127,743097,722030,36656,17727,18929,74145,36594,37551,92,61,31,42,20,22,595,283,312,73,42,31
C4415,33,00,0000,State - TAMIL NADU  33,Rural,55-59,1295258,632403,662855,1201547,587314,614233,29581,14024,15557,62389,30224,32165,91,51,40,33,18,15,572,254,318,82,39,43
C4415,33,00,0000,State - TAMIL NADU  33,Rural,60-64,1215578,603028,612550,1131428,562438,568990,27018,12654,14364,55342,27034,28308,75,45,30,31,18,13,579,279,300,61,32,29
C4415,33,00,0000,State - TAMIL NADU  33,Rural,65-69,804288,389510,414778,744262,360976,383286,18392,8622,9770,40399,19307,21092,48,24,24,21,14,7,491,239,252,43,24,19
C4415,33,00,0000,State - TAMIL NADU  33,Rural,70-74,609388,313218,296170,565480,291425,274055,13566,6437,7129,29378,14849,14529,32,15,17,21,8,13,381,203,178,30,19,11
C4415,33,00,0000,State - TAMIL NADU  33,Rural,75-79,281505,151331,130174,259872,140143,119729,6150,3068,3082,15004,7853,7151,18,11,7,5,4,1,227,120,107,17,13,4
C4415,33,00,0000,State - TAMIL NADU  33,Rural,80+,311989,158757,153232,288601,147576,141025,7478,3246,4232,15337,7630,7707,32,19,13,18,10,8,217,119,98,21,14,7
C4415,33,00,0000,State - TAMIL NADU  33,Rural,Age not stated,162848,85099,77749,150045,78403,71642,4271,2138,2133,5713,2908,2805,41,23,18,31,18,13,78,39,39,14,9,5
C4415,33,00,0000,State - TAMIL NADU  33,Urban,All ages,27483998,13869415,13614583,22706635,11492717,11213918,2525837,1263454,1262383,2135338,1052495,1082843,7207,4148,3059,4258,2284,1974,72427,37640,34787,5327,2788,2539
C4415,33,00,0000,State - TAMIL NADU  33,Urban,0-4,2098659,1071432,1027227,1705443,871518,833925,223793,114453,109340,160635,80874,79761,486,263,223,327,165,162,5538,2918,2620,421,214,207
C4415,33,00,0000,State - TAMIL NADU  33,Urban,5-9,2294537,1170917,1123620,1871717,955989,915728,243362,123733,119629,169641,85978,83663,554,286,268,396,216,180,6230,3283,2947,386,191,195
C4415,33,00,0000,State - TAMIL NADU  33,Urban,10-14,2535746,1295018,1240728,2061787,1055383,1006404,266259,135517,130742,196600,98282,98318,521,293,228,447,234,213,6771,3542,3229,427,214,213
C4415,33,00,0000,State - TAMIL NADU  33,Urban,15-19,2706707,1364584,1342123,2194731,1113715,1081016,287281,140778,146503,213667,104355,109312,623,368,255,424,231,193,6915,3652,3263,441,252,189
C4415,33,00,0000,State - TAMIL NADU  33,Urban,20-24,2696693,1321856,1374837,2201998,1082304,1119694,268961,131580,137381,213404,101651,111753,804,470,334,485,264,221,7954,4131,3823,633,351,282
C4415,33,00,0000,State - TAMIL NADU  33,Urban,25-29,2665579,1280678,1384901,2208059,1064046,1144013,241646,115042,126604,204545,95837,108708,803,472,331,406,207,199,7379,3761,3618,550,278,272
C4415,33,00,0000,State - TAMIL NADU  33,Urban,30-34,2224481,1130079,1094402,1853494,945594,907900,188261,94323,93938,173093,85185,87908,686,389,297,355,183,172,6392,3222,3170,458,238,220
C4415,33,00,0000,State - TAMIL NADU  33,Urban,35-39,2220482,1106252,1114230,1860104,928991,931113,185514,91229,94285,166154,81473,84681,585,344,241,333,178,155,5756,3017,2739,432,221,211
C4415,33,00,0000,State - TAMIL NADU  33,Urban,40-44,1726816,916168,810648,1449263,772273,676990,136401,71771,64630,134478,68573,65905,476,269,207,234,136,98,4380,2307,2073,321,180,141
C4415,33,00,0000,State - TAMIL NADU  33,Urban,45-49,1586626,829773,756853,1329636,698593,631043,125568,64695,60873,125676,63427,62249,428,256,172,208,117,91,3762,1978,1784,305,167,138
C4415,33,00,0000,State - TAMIL NADU  33,Urban,50-54,1239508,654459,585049,1037858,549467,488391,95787,50482,45305,101302,52035,49267,352,230,122,188,119,69,2866,1546,1320,246,125,121
C4415,33,00,0000,State - TAMIL NADU  33,Urban,55-59,937418,469554,467864,784708,393137,391571,73583,36885,36698,75751,37759,37992,242,151,91,96,54,42,2173,1132,1041,183,102,81
C4415,33,00,0000,State - TAMIL NADU  33,Urban,60-64,834213,416060,418153,703966,351617,352349,62702,31258,31444,64757,31755,33002,176,100,76,84,46,38,1752,899,853,149,72,77
C4415,33,00,0000,State - TAMIL NADU  33,Urban,65-69,570638,274121,296517,478329,229943,248386,43125,21113,22012,46970,21930,25040,119,73,46,71,31,40,1466,750,716,123,57,66
C4415,33,00,0000,State - TAMIL NADU  33,Urban,70-74,421531,207036,214495,355869,175262,180607,30864,14929,15935,33353,16155,17198,82,38,44,44,22,22,903,438,465,79,40,39
C4415,33,00,0000,State - TAMIL NADU  33,Urban,75-79,217055,110363,106692,182903,93332,89571,14352,7153,7199,18936,9475,9461,44,20,24,30,12,18,540,244,296,51,24,27
C4415,33,00,0000,State - TAMIL NADU  33,Urban,80+,241215,112376,128839,203971,95446,108525,17412,7589,9823,18890,8887,10003,61,39,22,42,27,15,535,236,299,59,26,33
C4415,33,00,0000,State - TAMIL NADU  33,Urban,Age not stated,266094,138689,127405,222799,116107,106692,20966,10924,10042,17486,8864,8622,165,87,78,88,42,46,1115,584,531,63,36,27
C4415,33,01,0000,District - Thiruvallur  01,Total,All ages,2754756,1397407,1357349,2476438,1256699,1219739,99408,50321,49087,169719,85560,84159,847,475,372,486,268,218,3928,2081,1847,452,248,204
C4415,33,01,0000,District - Thiruvallur  01,Total,0-4,231935,118396,113539,208017,106197,101820,9159,4659,4500,13968,7125,6843,65,38,27,55,34,21,347,186,161,37,24,13
C4415,33,01,0000,District - Thiruvallur  01,Total,5-9,248920,126498,122422,224085,113751,110334,9741,4959,4782,14254,7295,6959,75,43,32,63,38,25,360,221,139,37,23,14
C4415,33,01,0000,District - Thiruvallur  01,Total,10-14,267528,136805,130723,240171,122771,117400,10488,5354,5134,15956,8192,7764,72,42,30,42,15,27,398,203,195,39,22,17
C4415,33,01,0000,District - Thiruvallur  01,Total,15-19,272269,140107,132162,244023,125903,118120,10971,5492,5479,16434,8258,8176,76,42,34,46,30,16,360,189,171,33,20,13
C4415,33,01,0000,District - Thiruvallur  01,Total,20-24,281817,140622,141195,251937,126125,125812,11094,5371,5723,17861,8663,9198,85,43,42,35,16,19,438,236,202,49,24,25
C4415,33,01,0000,District - Thiruvallur  01,Total,25-29,279201,135920,143281,250334,122001,128333,9988,4905,5083,17924,8540,9384,78,43,35,51,26,25,437,210,227,52,29,23
C4415,33,01,0000,District - Thiruvallur  01,Total,30-34,221196,114161,107035,198414,102650,95764,7564,3857,3707,14416,7239,7177,72,34,38,50,28,22,360,194,166,46,23,23
C4415,33,01,0000,District - Thiruvallur  01,Total,35-39,222713,111041,111672,200802,100153,100649,7500,3700,3800,13695,6818,6877,87,51,36,44,22,22,315,160,155,44,25,19
C4415,33,01,0000,District - Thiruvallur  01,Total,40-44,166370,89182,77188,150130,80635,69495,5361,2879,2482,10374,5413,4961,54,26,28,25,14,11,224,125,99,28,15,13
C4415,33,01,0000,District - Thiruvallur  01,Total,45-49,151342,79480,71862,136251,71594,64657,5004,2647,2357,9672,5014,4658,47,31,16,25,19,6,173,91,82,24,12,12
C4415,33,01,0000,District - Thiruvallur  01,Total,50-54,117063,61388,55675,105247,54977,50270,3690,2026,1664,7781,4187,3594,49,33,16,14,9,5,138,80,58,14,11,3
C4415,33,01,0000,District - Thiruvallur  01,Total,55-59,83711,42247,41464,75456,37880,37576,2722,1446,1276,5277,2791,2486,37,24,13,6,2,4,124,59,65,14,8,6
C4415,33,01,0000,District - Thiruvallur  01,Total,60-64,77871,37799,40072,71005,34304,36701,2167,1112,1055,4475,2280,2195,18,10,8,12,6,6,96,45,51,17,4,13
C4415,33,01,0000,District - Thiruvallur  01,Total,65-69,48046,22637,25409,43647,20519,23128,1449,684,765,2788,1352,1436,14,7,7,7,3,4,74,41,33,9,3,6
C4415,33,01,0000,District - Thiruvallur  01,Total,70-74,36391,17349,19042,33432,15860,17572,949,490,459,1931,960,971,5,4,1,5,2,3,33,18,15,2,2,0
C4415,33,01,0000,District - Thiruvallur  01,Total,75-79,16872,8442,8430,15325,7689,7636,452,209,243,1054,528,526,3,0,3,1,1,0,25,10,15,2,1,1
C4415,33,01,0000,District - Thiruvallur  01,Total,80+,19071,8944,10127,17383,8201,9182,528,223,305,1098,491,607,7,3,4,4,2,2,20,9,11,4,2,2
C4415,33,01,0000,District - Thiruvallur  01,Total,Age not stated,12440,6389,6051,10779,5489,5290,581,308,273,761,414,347,3,1,2,1,1,0,6,4,2,1,0,1
C4415,33,01,0000,District - Thiruvallur  01,Rural,All ages,1254674,629052,625622,1178891,591170,587721,23558,11799,11759,50101,24912,25189,148,86,62,141,82,59,436,232,204,111,67,44
C4415,33,01,0000,District - Thiruvallur  01,Rural,0-4,111758,56932,54826,104588,53282,51306,2525,1272,1253,4447,2271,2176,23,15,8,26,15,11,47,24,23,10,7,3
C4415,33,01,0000,District - Thiruvallur  01,Rural,5-9,122403,62235,60168,114975,58434,56541,2647,1364,1283,4542,2291,2251,11,4,7,13,8,5,54,38,16,13,8,5
C4415,33,01,0000,District - Thiruvallur  01,Rural,10-14,129423,65926,63497,121343,61788,59555,2607,1323,1284,5237,2674,2563,13,6,7,10,5,5,32,14,18,9,6,3
C4415,33,01,0000,District - Thiruvallur  01,Rural,15-19,127042,65496,61546,119001,61368,57633,2575,1311,1264,5275,2715,2560,10,4,6,9,7,2,35,17,18,7,4,3
C4415,33,01,0000,District - Thiruvallur  01,Rural,20-24,120996,60427,60569,113083,56687,56396,2492,1185,1307,5242,2469,2773,16,10,6,12,5,7,49,24,25,11,6,5
C4415,33,01,0000,District - Thiruvallur  01,Rural,25-29,119531,57619,61912,112260,54124,58136,2170,1082,1088,4905,2310,2595,18,13,5,17,9,8,49,25,24,14,10,4
C4415,33,01,0000,District - Thiruvallur  01,Rural,30-34,92332,46768,45564,86755,44008,42747,1607,797,810,3830,1888,1942,9,4,5,12,8,4,40,23,17,8,4,4
C4415,33,01,0000,District - Thiruvallur  01,Rural,35-39,99298,48288,51010,93489,45495,47994,1738,799,939,3923,1907,2016,17,13,4,14,9,5,25,14,11,12,8,4
C4415,33,01,0000,District - Thiruvallur  01,Rural,40-44,72701,38687,34014,68524,36488,32036,1192,650,542,2866,1490,1376,5,2,3,7,5,2,31,15,16,6,4,2
C4415,33,01,0000,District - Thiruvallur  01,Rural,45-49,67857,34844,33013,63942,32802,31140,1150,615,535,2668,1374,1294,5,4,1,5,2,3,20,12,8,4,2,2
C4415,33,01,0000,District - Thiruvallur  01,Rural,50-54,52581,26271,26310,49599,24673,24926,806,430,376,2101,1121,980,5,2,3,4,3,1,14,9,5,2,2,0
C4415,33,01,0000,District - Thiruvallur  01,Rural,55-59,38985,18690,20295,36839,17667,19172,665,327,338,1427,664,763,4,3,1,2,1,1,13,6,7,3,0,3
C4415,33,01,0000,District - Thiruvallur  01,Rural,60-64,38931,18019,20912,37013,17103,19910,507,243,264,1355,644,711,4,3,1,4,2,2,13,7,6,3,2,1
C4415,33,01,0000,District - Thiruvallur  01,Rural,65-69,22662,10261,12401,21429,9707,11722,343,148,195,854,391,463,2,0,2,1,0,1,6,1,5,5,1,4
C4415,33,01,0000,District - Thiruvallur  01,Rural,70-74,18024,8550,9474,17137,8123,9014,220,106,114,644,308,336,2,2,0,2,1,1,4,2,2,1,1,0
C4415,33,01,0000,District - Thiruvallur  01,Rural,75-79,7488,3832,3656,7084,3621,3463,109,55,54,287,152,135,1,0,1,1,1,0,3,1,2,1,1,0
C4415,33,01,0000,District - Thiruvallur  01,Rural,80+,8756,4242,4514,8308,4040,4268,110,47,63,326,149,177,3,1,2,1,0,1,1,0,1,1,1,0
C4415,33,01,0000,District - Thiruvallur  01,Rural,Age not stated,3906,1965,1941,3522,1760,1762,95,45,50,172,94,78,0,0,0,1,1,0,0,0,0,1,0,1
C4415,33,01,0000,District - Thiruvallur  01,Urban,All ages,1500082,768355,731727,1297547,665529,632018,75850,38522,37328,119618,60648,58970,699,389,310,345,186,159,3492,1849,1643,341,181,160
C4415,33,01,0000,District - Thiruvallur  01,Urban,0-4,120177,61464,58713,103429,52915,50514,6634,3387,3247,9521,4854,4667,42,23,19,29,19,10,300,162,138,27,17,10
C4415,33,01,0000,District - Thiruvallur  01,Urban,5-9,126517,64263,62254,109110,55317,53793,7094,3595,3499,9712,5004,4708,64,39,25,50,30,20,306,183,123,24,15,9
C4415,33,01,0000,District - Thiruvallur  01,Urban,10-14,138105,70879,67226,118828,60983,57845,7881,4031,3850,10719,5518,5201,59,36,23,32,10,22,366,189,177,30,16,14
C4415,33,01,0000,District - Thiruvallur  01,Urban,15-19,145227,74611,70616,125022,64535,60487,8396,4181,4215,11159,5543,5616,66,38,28,37,23,14,325,172,153,26,16,10
C4415,33,01,0000,District - Thiruvallur  01,Urban,20-24,160821,80195,80626,138854,69438,69416,8602,4186,4416,12619,6194,6425,69,33,36,23,11,12,389,212,177,38,18,20
C4415,33,01,0000,District - Thiruvallur  01,Urban,25-29,159670,78301,81369,138074,67877,70197,7818,3823,3995,13019,6230,6789,60,30,30,34,17,17,388,185,203,38,19,19
C4415,33,01,0000,District - Thiruvallur  01,Urban,30-34,128864,67393,61471,111659,58642,53017,5957,3060,2897,10586,5351,5235,63,30,33,38,20,18,320,171,149,38,19,19
C4415,33,01,0000,District - Thiruvallur  01,Urban,35-39,123415,62753,60662,107313,54658,52655,5762,2901,2861,9772,4911,4861,70,38,32,30,13,17,290,146,144,32,17,15
C4415,33,01,0000,District - Thiruvallur  01,Urban,40-44,93669,50495,43174,81606,44147,37459,4169,2229,1940,7508,3923,3585,49,24,25,18,9,9,193,110,83,22,11,11
C4415,33,01,0000,District - Thiruvallur  01,Urban,45-49,83485,44636,38849,72309,38792,33517,3854,2032,1822,7004,3640,3364,42,27,15,20,17,3,153,79,74,20,10,10
C4415,33,01,0000,District - Thiruvallur  01,Urban,50-54,64482,35117,29365,55648,30304,25344,2884,1596,1288,5680,3066,2614,44,31,13,10,6,4,124,71,53,12,9,3
C4415,33,01,0000,District - Thiruvallur  01,Urban,55-59,44726,23557,21169,38617,20213,18404,2057,1119,938,3850,2127,1723,33,21,12,4,1,3,111,53,58,11,8,3
C4415,33,01,0000,District - Thiruvallur  01,Urban,60-64,38940,19780,19160,33992,17201,16791,1660,869,791,3120,1636,1484,14,7,7,8,4,4,83,38,45,14,2,12
C4415,33,01,0000,District - Thiruvallur  01,Urban,65-69,25384,12376,13008,22218,10812,11406,1106,536,570,1934,961,973,12,7,5,6,3,3,68,40,28,4,2,2
C4415,33,01,0000,District - Thiruvallur  01,Urban,70-74,18367,8799,9568,16295,7737,8558,729,384,345,1287,652,635,3,2,1,3,1,2,29,16,13,1,1,0
C4415,33,01,0000,District - Thiruvallur  01,Urban,75-79,9384,4610,4774,8241,4068,4173,343,154,189,767,376,391,2,0,2,0,0,0,22,9,13,1,0,1
C4415,33,01,0000,District - Thiruvallur  01,Urban,80+,10315,4702,5613,9075,4161,4914,418,176,242,772,342,430,4,2,2,3,2,1,19,9,10,3,1,2
C4415,33,01,0000,District - Thiruvallur  01,Urban,Age not stated,8534,4424,4110,7257,3729,3528,486,263,223,589,320,269,3,1,2,0,0,0,6,4,2,0,0,0
C4415,33,02,0000,District - Chennai  02,Total,All ages,4343645,2219539,2124106,3573356,1825973,1747383,379206,197287,181919,331261,165252,166009,2470,1403,1067,1891,1019,872,45611,23642,21969,1819,918,901
C4415,33,02,0000,District - Chennai  02,Total,0-4,299356,151721,147635,242801,122932,119869,28894,14893,14001,23237,11646,11591,147,74,73,142,68,74,3441,1787,1654,113,54,59
C4415,33,02,0000,District - Chennai  02,Total,5-9,333997,169413,164584,271653,137565,134088,32337,16568,15769,25001,12653,12348,162,82,80,157,90,67,3808,2001,1807,138,61,77
C4415,33,02,0000,District - Chennai  02,Total,10-14,380997,194521,186476,309637,158089,151548,37497,19352,18145,28443,14278,14165,166,90,76,164,96,68,4231,2213,2018,158,76,82
C4415,33,02,0000,District - Chennai  02,Total,15-19,410863,210259,200604,333005,170485,162520,41759,21625,20134,30443,15214,15229,231,142,89,160,84,76,4384,2322,2062,141,72,69
C4415,33,02,0000,District - Chennai  02,Total,20-24,452191,224627,227564,368534,183167,185367,42930,21949,20981,34205,16209,17996,263,148,115,222,112,110,5052,2583,2469,185,97,88
C4415,33,02,0000,District - Chennai  02,Total,25-29,444743,220147,224596,365617,181104,184513,38694,19631,19063,34347,16298,18049,275,167,108,183,93,90,4750,2425,2325,184,94,90
C4415,33,02,0000,District - Chennai  02,Total,30-34,366428,191662,174766,302837,158538,144299,29611,15775,13836,28956,14785,14171,215,113,102,167,88,79,3981,2007,1974,163,86,77
C4415,33,02,0000,District - Chennai  02,Total,35-39,345832,176036,169796,286727,146042,140685,28402,14660,13742,26188,12981,13207,183,102,81,149,86,63,3551,1852,1699,170,80,90
C4415,33,02,0000,District - Chennai  02,Total,40-44,268168,143967,124201,222758,119667,103091,20930,11421,9509,20968,11018,9950,156,89,67,123,72,51,2760,1442,1318,126,75,51
C4415,33,02,0000,District - Chennai  02,Total,45-49,236945,126188,110757,196907,105173,91734,18565,9954,8611,18519,9492,9027,156,84,72,93,51,42,2354,1242,1112,95,57,38
C4415,33,02,0000,District - Chennai  02,Total,50-54,190198,101818,88380,157643,84246,73397,14725,8089,6636,15488,8239,7249,140,85,55,95,60,35,1795,945,850,93,47,46
