Table Name,State Code,Distt. Code,Tehsil Code,Town Code,Area Name,Total/ Rural/ Urban,Total - Persons,Total - Males,Total - Females,Religious communities - Hindu - Persons,Religious communities - Hindu - Males,Religious communities - Hindu - Females,Religious communities - Muslim - Persons,Religious communities - Muslim - Males,Religious communities - Muslim - Females,Religious communities - Christian - Persons,Religious communities - Christian - Males,Religious communities - Christian - Females,Religious communities - Sikh - Persons,Religious communities - Sikh - Males,Religious communities - Sikh - Females,Religious communities - Buddhist - Persons,Religious communities - Buddhist - Males,Religious communities - Buddhist - Females,Religious communities - Jain - Persons,Religious communities - Jain - Males,Religious communities - Jain - Females,Religious communities - Other religions and persuasions (incl.Unclassified Sect.) - Persons,Religious communities - Other religions and persuasions (incl.Unclassified Sect.) - Males,Religious communities - Other religions and persuasions (incl.Unclassified Sect.) - Females,Religious communities - Religion not stated - Persons,Religious communities - Religion not stated - Males,Religious communities - Religion not stated - Females
C0101,33,000,00000,000000,State - TAMIL NADU,Total,72147030,36137975,36009055,63188168,31715046,31473122,4229479,2099182,2130297,4418331,2171413,2246918,14601,8088,6513,11186,5976,5210,89265,45605,43660,7414,3781,3633,188586,88884,99702
C0101,33,000,00000,000000,State - TAMIL NADU,Rural,37229590,18679065,18550525,34548262,17358731,17189531,993822,486373,507449,1598616,790114,808502,4149,2256,1893,3285,1716,1569,10084,5044,5040,2587,1227,1360,68785,33604,35181
C0101,33,000,00000,000000,State - TAMIL NADU,Urban,34917440,17458910,17458530,28639906,14356315,14283591,3235657,1612809,1622848,2819715,1381299,1438416,10452,5832,4620,7901,4260,3641,79181,40561,38620,4827,2554,2273,119801,55280,64521
C0101,33,602,00000,000000,District - Thiruvallur,Total,3728104,1876062,1852042,3325823,1675682,1650141,143093,72336,70757,233633,116016,117617,1422,789,633,951,512,439,3693,1935,1758,530,257,273,18959,8535,10424
C0101,33,602,00000,000000,District - Thiruvallur,Rural,1299709,650462,649247,1225502,613318,612184,26388,13315,13073,43410,21617,21793,206,118,88,145,72,73,181,93,88,62,29,33,3815,1900,1915
C0101,33,602,00000,000000,District - Thiruvallur,Urban,2428395,1225600,1202795,2100321,1062364,1037957,116705,59021,57684,190223,94399,95824,1216,671,545,806,440,366,3512,1842,1670,468,228,240,15144,6635,8509
C0101,33,602,00000,803325,Tiruverkadu (M + OG) ,Urban,64698,32695,32003,60279,30508,29771,880,462,418,3225,1596,1629,23,13,10,31,21,10,24,13,11,22,11,11,214,71,143
C0101,33,602,05693,000000,Sub-District - Gummidipoondi,Total,190541,95799,94742,178594,89802,88792,5374,2674,2700,6072,3092,2980,52,30,22,4,2,2,49,25,24,6,2,4,390,172,218
C0101,33,602,05693,000000,Sub-District - Gummidipoondi,Rural,159356,80046,79310,151401,76063,75338,3598,1792,1806,3934,1997,1937,30,19,11,3,2,1,21,12,9,0,0,0,369,161,208
C0101,33,602,05693,000000,Sub-District - Gummidipoondi,Urban,31185,15753,15432,27193,13739,13454,1776,882,894,2138,1095,1043,22,11,11,1,0,1,28,13,15,6,2,4,21,11,10
